股票代码,股票名称,匹配度,最佳买点日期,最佳买点价格,当前价格,市值,核心特征匹配,特征
300141,和顺电气,0.992,2025-12-31,12.57,12.57,32.02,{},"{'起点当周量比': 2.15, '起点前10周均量': 378308.0, '起点前20周均量': 285712.0, '起点前40周均量': 399160.0, '成交量萎缩程度': 1.32, '起点前40周最大量': 1207378.0, '最大量对应最低价': 9.16, '最大量对应日期': '2025-01-03', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.67, '价格相对位置': 86.18, '相对高点跌幅': 3.57, '起点前20周最高价': 10.65, '起点前20周最低价': 7.9, '起点前40周最高价': 11.31, '起点前40周最低价': 6.61, '起点前20周波动幅度': 34.81, '价格相对MA5': 9.51, 'MA5值': 9.38, '价格相对MA10': 8.71, 'MA10值': 9.45, '价格相对MA20': 13.37, 'MA20值': 9.06, '价格相对MA40': 13.0, 'MA40值': 9.09, 'MA20斜率': 9.66, '起点前20周量价相关系数': -0.053, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 7.28, '起点前20周波动率': 15.44, '90%成本集中度': 6.65, '筹码集中度': 65.1, '盈利筹码比例': 142.31, '起点价格': 10.27, '起点日期': '2025-09-19'}"
603161,科华控股,0.992,2025-12-31,13.73,13.73,26.19,{},"{'起点当周量比': 2.37, '起点前10周均量': 304503.0, '起点前20周均量': 256601.0, '起点前40周均量': 278661.0, '成交量萎缩程度': 1.19, '起点前40周最大量': 984222.0, '最大量对应最低价': 10.3, '最大量对应日期': '2024-11-15', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.73, '价格相对位置': 112.63, '相对高点跌幅': -4.45, '起点前20周最高价': 13.25, '起点前20周最低价': 8.58, '起点前40周最高价': 13.25, '起点前40周最低价': 8.58, '起点前20周波动幅度': 54.43, '价格相对MA5': 11.15, 'MA5值': 12.45, '价格相对MA10': 12.6, 'MA10值': 12.29, '价格相对MA20': 15.94, 'MA20值': 11.94, '价格相对MA40': 20.64, 'MA40值': 11.47, 'MA20斜率': 10.04, '起点前20周量价相关系数': 0.067, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 11.3, '起点前20周波动率': 28.71, '90%成本集中度': 11.87, '筹码集中度': 68.99, '盈利筹码比例': 128.97, '起点价格': 13.84, '起点日期': '2025-08-08'}"
300435,中泰股份,0.991,2025-12-31,22.22,22.22,81.95,{},"{'起点当周量比': 2.3, '起点前10周均量': 371955.0, '起点前20周均量': 311794.0, '起点前40周均量': 301423.0, '成交量萎缩程度': 1.19, '起点前40周最大量': 935673.0, '最大量对应最低价': 11.8, '最大量对应日期': '2024-11-22', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.91, '价格相对位置': 69.41, '相对高点跌幅': 8.88, '起点前20周最高价': 14.64, '起点前20周最低价': 10.39, '起点前40周最高价': 14.64, '起点前40周最低价': 9.13, '起点前20周波动幅度': 40.9, '价格相对MA5': 3.67, 'MA5值': 12.87, '价格相对MA10': 5.45, 'MA10值': 12.65, '价格相对MA20': 9.24, 'MA20值': 12.21, '价格相对MA40': 15.45, 'MA40值': 11.55, 'MA20斜率': 5.75, '起点前20周量价相关系数': 0.104, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 17.83, '起点前20周波动率': 24.75, '90%成本集中度': 11.01, '筹码集中度': 59.07, '盈利筹码比例': 82.85, '起点价格': 13.34, '起点日期': '2025-04-25'}"
300626,华瑞股份,0.991,2025-12-31,15.91,15.91,28.62,{},"{'起点当周量比': 1.19, '起点前10周均量': 352740.0, '起点前20周均量': 280257.0, '起点前40周均量': 360163.0, '成交量萎缩程度': 1.26, '起点前40周最大量': 1064438.0, '最大量对应最低价': 10.22, '最大量对应日期': '2024-12-06', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.4, '价格相对位置': 75.22, '相对高点跌幅': 9.58, '起点前20周最高价': 11.59, '起点前20周最低价': 7.11, '起点前40周最高价': 12.66, '起点前40周最低价': 7.05, '起点前20周波动幅度': 63.01, '价格相对MA5': 14.56, 'MA5值': 9.15, '价格相对MA10': 6.71, 'MA10值': 9.82, '价格相对MA20': 9.36, 'MA20值': 9.58, '价格相对MA40': 12.19, 'MA40值': 9.34, 'MA20斜率': -1.25, '起点前20周量价相关系数': 0.138, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 25.29, '起点前20周波动率': 28.24, '90%成本集中度': 12.37, '筹码集中度': 60.5, '盈利筹码比例': 82.5, '起点价格': 10.48, '起点日期': '2025-05-09'}"
002968,新大正,0.99,2025-12-31,12.16,12.16,25.92,{},"{'起点当周量比': 1.15, '起点前10周均量': 353052.0, '起点前20周均量': 261615.0, '起点前40周均量': 236908.0, '成交量萎缩程度': 1.35, '起点前40周最大量': 856957.0, '最大量对应最低价': 10.19, '最大量对应日期': '2025-06-06', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.47, '价格相对位置': 68.29, '相对高点跌幅': 11.77, '起点前20周最高价': 12.15, '起点前20周最低价': 7.64, '起点前40周最高价': 12.15, '起点前40周最低价': 7.64, '起点前20周波动幅度': 59.03, '价格相对MA5': 3.3, 'MA5值': 10.38, '价格相对MA10': 4.89, 'MA10值': 10.22, '价格相对MA20': 10.24, 'MA20值': 9.72, '价格相对MA40': 13.69, 'MA40值': 9.43, 'MA20斜率': 13.92, '起点前20周量价相关系数': 0.335, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 12.91, '起点前20周波动率': 22.22, '90%成本集中度': 9.06, '筹码集中度': 69.47, '盈利筹码比例': 102.58, '起点价格': 10.72, '起点日期': '2025-08-01'}"
002790,瑞尔特,0.989,2025-12-31,8.39,8.39,21.87,{},"{'起点当周量比': 1.65, '起点前10周均量': 211210.0, '起点前20周均量': 195143.0, '起点前40周均量': 221477.0, '成交量萎缩程度': 1.08, '起点前40周最大量': 548066.0, '最大量对应最低价': 7.08, '最大量对应日期': '2025-02-21', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.64, '价格相对位置': 85.19, '相对高点跌幅': 2.47, '起点前20周最高价': 8.1, '起点前20周最低价': 6.75, '起点前40周最高价': 8.28, '起点前40周最低价': 6.05, '起点前20周波动幅度': 20.0, '价格相对MA5': 7.66, 'MA5值': 7.34, '价格相对MA10': 5.98, 'MA10值': 7.45, '价格相对MA20': 7.22, 'MA20值': 7.37, '价格相对MA40': 8.51, 'MA40值': 7.28, 'MA20斜率': 3.61, '起点前20周量价相关系数': -0.062, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 8.5, '起点前20周波动率': 13.06, '90%成本集中度': 5.68, '筹码集中度': 51.88, '盈利筹码比例': 112.22, '起点价格': 7.9, '起点日期': '2025-10-17'}"
603315,福鞍股份,0.989,2025-12-31,15.53,15.53,49.75,{},"{'起点当周量比': 0.58, '起点前10周均量': 426338.0, '起点前20周均量': 308236.0, '起点前40周均量': 213792.0, '成交量萎缩程度': 1.38, '起点前40周最大量': 1155356.0, '最大量对应最低价': 10.83, '最大量对应日期': '2025-01-10', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.21, '价格相对位置': 55.05, '相对高点跌幅': 16.7, '起点前20周最高价': 13.05, '起点前20周最低价': 8.2, '起点前40周最高价': 13.74, '起点前40周最低价': 8.2, '起点前20周波动幅度': 59.15, '价格相对MA5': 1.25, 'MA5值': 10.74, '价格相对MA10': 1.54, 'MA10值': 10.71, '价格相对MA20': 6.81, 'MA20值': 10.18, '价格相对MA40': 7.12, 'MA40值': 10.15, 'MA20斜率': 15.19, '起点前20周量价相关系数': 0.059, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 9.53, '起点前20周波动率': 33.25, '90%成本集中度': 12.75, '筹码集中度': 73.32, '盈利筹码比例': 86.12, '起点价格': 10.87, '起点日期': '2025-02-07'}"
603817,海峡环保,0.989,2025-12-31,7.09,7.09,40.42,{},"{'起点当周量比': 0.96, '起点前10周均量': 617632.0, '起点前20周均量': 454933.0, '起点前40周均量': 371182.0, '成交量萎缩程度': 1.36, '起点前40周最大量': 1448395.0, '最大量对应最低价': 5.91, '最大量对应日期': '2025-09-05', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.41, '价格相对位置': 70.0, '相对高点跌幅': 6.48, '起点前20周最高价': 6.94, '起点前20周最低价': 5.44, '起点前40周最高价': 6.94, '起点前40周最低价': 4.83, '起点前20周波动幅度': 27.57, '价格相对MA5': 3.54, 'MA5值': 6.27, '价格相对MA10': 5.31, 'MA10值': 6.16, '价格相对MA20': 8.48, 'MA20值': 5.98, '价格相对MA40': 12.23, 'MA40值': 5.78, 'MA20斜率': 10.43, '起点前20周量价相关系数': 0.111, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 11.3, '起点前20周波动率': 18.18, '90%成本集中度': 8.33, '筹码集中度': 68.59, '盈利筹码比例': 99.0, '起点价格': 6.49, '起点日期': '2025-10-17'}"
603823,百合花,0.989,2025-12-31,15.05,15.05,61.86,{},"{'起点当周量比': 3.08, '起点前10周均量': 413760.0, '起点前20周均量': 389145.0, '起点前40周均量': 388837.0, '成交量萎缩程度': 1.06, '起点前40周最大量': 1174084.0, '最大量对应最低价': 9.89, '最大量对应日期': '2025-03-07', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 1.09, '价格相对位置': 121.51, '相对高点跌幅': -5.45, '起点前20周最高价': 11.0, '起点前20周最低价': 8.21, '起点前40周最高价': 11.15, '起点前40周最低价': 8.0, '起点前20周波动幅度': 33.98, '价格相对MA5': 13.99, 'MA5值': 10.18, '价格相对MA10': 15.93, 'MA10值': 10.01, '价格相对MA20': 18.84, 'MA20值': 9.76, '价格相对MA40': 20.49, 'MA40值': 9.63, 'MA20斜率': 10.63, '起点前20周量价相关系数': 0.183, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 15.48, '起点前20周波动率': 16.63, '90%成本集中度': 6.38, '筹码集中度': 66.86, '盈利筹码比例': 172.0, '起点价格': 11.6, '起点日期': '2025-06-06'}"
002140,东华科技,0.988,2025-12-31,11.21,11.21,79.25,{},"{'起点当周量比': 2.71, '起点前10周均量': 426120.0, '起点前20周均量': 377192.0, '起点前40周均量': 446591.0, '成交量萎缩程度': 1.13, '起点前40周最大量': 1354374.0, '最大量对应最低价': 9.8, '最大量对应日期': '2025-03-07', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.85, '价格相对位置': 128.65, '相对高点跌幅': -5.19, '起点前20周最高价': 10.6, '起点前20周最低价': 8.68, '起点前40周最高价': 11.67, '起点前40周最低价': 8.4, '起点前20周波动幅度': 22.12, '价格相对MA5': 9.42, 'MA5值': 10.19, '价格相对MA10': 12.12, 'MA10值': 9.95, '价格相对MA20': 16.46, 'MA20值': 9.57, '价格相对MA40': 16.09, 'MA40值': 9.6, 'MA20斜率': 8.15, '起点前20周量价相关系数': 0.383, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 14.51, '起点前20周波动率': 18.68, '90%成本集中度': 8.16, '筹码集中度': 49.77, '盈利筹码比例': 144.51, '起点价格': 11.15, '起点日期': '2025-09-12'}"
