股票代码,股票名称,匹配度,最佳买点日期,最佳买点价格,当前价格,市值,核心特征匹配,特征
603703,盛洋科技,0.977,2025-12-31,14.58,14.58,60.5,{},"{'起点当周量比': 0.91, '起点前10周均量': 457303.0, '起点前20周均量': 505978.0, '起点前40周均量': 374817.0, '成交量萎缩程度': 0.9, '起点前40周最大量': 863113.0, '最大量对应最低价': 11.88, '最大量对应日期': '2024-11-29', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.48, '价格相对位置': 63.93, '相对高点跌幅': 14.17, '起点前20周最高价': 13.97, '起点前20周最低价': 8.48, '起点前40周最高价': 13.97, '起点前40周最低价': 8.48, '起点前20周波动幅度': 64.74, '价格相对MA5': 6.41, 'MA5值': 11.27, '价格相对MA10': 3.61, 'MA10值': 11.57, '价格相对MA20': 8.04, 'MA20值': 11.1, '价格相对MA40': 14.9, 'MA40值': 10.43, 'MA20斜率': 18.44, '起点前20周量价相关系数': -0.154, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 19.73, '起点前20周波动率': 51.24, '90%成本集中度': 17.4, '筹码集中度': 41.38, '盈利筹码比例': 68.35, '起点价格': 11.99, '起点日期': '2025-02-07'}"
000779,甘咨询,0.974,2025-12-31,8.21,8.21,38.16,{},"{'起点当周量比': 0.63, '起点前10周均量': 531454.0, '起点前20周均量': 652177.0, '起点前40周均量': 539504.0, '成交量萎缩程度': 0.81, '起点前40周最大量': 2292506.0, '最大量对应最低价': 6.25, '最大量对应日期': '2024-08-30', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.15, '价格相对位置': 65.75, '相对高点跌幅': 12.07, '起点前20周最高价': 10.27, '起点前20周最低价': 6.65, '起点前40周最高价': 10.27, '起点前40周最低价': 5.73, '起点前20周波动幅度': 54.44, '价格相对MA5': 18.57, 'MA5值': 7.62, '价格相对MA10': 9.83, 'MA10值': 8.22, '价格相对MA20': 10.28, 'MA20值': 8.19, '价格相对MA40': 17.94, 'MA40值': 7.66, 'MA20斜率': -3.59, '起点前20周量价相关系数': 0.075, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 30.49, '起点前20周波动率': 34.37, '90%成本集中度': 12.34, '筹码集中度': 58.51, '盈利筹码比例': 80.66, '起点价格': 9.03, '起点日期': '2025-02-07'}"
300514,友讯达,0.973,2025-12-31,13.21,13.21,21.17,{},"{'起点当周量比': 0.7, '起点前10周均量': 248813.0, '起点前20周均量': 283107.0, '起点前40周均量': 291595.0, '成交量萎缩程度': 0.88, '起点前40周最大量': 905940.0, '最大量对应最低价': 14.45, '最大量对应日期': '2024-05-31', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.19, '价格相对位置': 65.22, '相对高点跌幅': 12.17, '起点前20周最高价': 17.09, '起点前20周最低价': 11.11, '起点前40周最高价': 17.09, '起点前40周最低价': 10.85, '起点前20周波动幅度': 53.83, '价格相对MA5': 9.59, 'MA5值': 13.7, '价格相对MA10': 4.77, 'MA10值': 14.33, '价格相对MA20': 7.43, 'MA20值': 13.97, '价格相对MA40': 10.83, 'MA40值': 13.54, 'MA20斜率': 5.47, '起点前20周量价相关系数': 0.162, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 16.81, '起点前20周波动率': 33.36, '90%成本集中度': 14.13, '筹码集中度': 43.74, '盈利筹码比例': 96.31, '起点价格': 15.01, '起点日期': '2025-02-07'}"
000951,中国重汽,0.972,2025-12-31,16.9,16.9,198.55,{},"{'起点当周量比': 0.67, '起点前10周均量': 832684.0, '起点前20周均量': 809265.0, '起点前40周均量': 746222.0, '成交量萎缩程度': 1.03, '起点前40周最大量': 2130663.0, '最大量对应最低价': 16.19, '最大量对应日期': '2025-01-10', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.26, '价格相对位置': 71.66, '相对高点跌幅': 9.9, '起点前20周最高价': 19.3, '起点前20周最低价': 12.56, '起点前40周最高价': 19.3, '起点前40周最低价': 12.38, '起点前20周波动幅度': 53.66, '价格相对MA5': -1.96, 'MA5值': 17.74, '价格相对MA10': 2.38, 'MA10值': 16.99, '价格相对MA20': 7.62, 'MA20值': 16.16, '价格相对MA40': 16.02, 'MA40值': 14.99, 'MA20斜率': 17.59, '起点前20周量价相关系数': 0.185, '起点当周价涨': 0, '起点当周量增': 1, '起点当周价涨量增': 0, '起点前10周波动率': 18.09, '起点前20周波动率': 37.03, '90%成本集中度': 14.2, '筹码集中度': 62.02, '盈利筹码比例': 77.05, '起点价格': 17.39, '起点日期': '2025-02-07'}"
002950,奥美医疗,0.971,2025-12-31,10.92,10.92,49.36,{},"{'起点当周量比': 0.83, '起点前10周均量': 470652.0, '起点前20周均量': 409852.0, '起点前40周均量': 312056.0, '成交量萎缩程度': 1.15, '起点前40周最大量': 1267445.0, '最大量对应最低价': 8.71, '最大量对应日期': '2024-11-29', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.31, '价格相对位置': 68.66, '相对高点跌幅': 10.52, '起点前20周最高价': 10.46, '起点前20周最低价': 6.95, '起点前40周最高价': 10.46, '起点前40周最低价': 6.06, '起点前20周波动幅度': 50.5, '价格相对MA5': 3.33, 'MA5值': 9.06, '价格相对MA10': 3.85, 'MA10值': 9.01, '价格相对MA20': 7.93, 'MA20值': 8.67, '价格相对MA40': 18.7, 'MA40值': 7.89, 'MA20斜率': 14.11, '起点前20周量价相关系数': 0.363, '起点当周价涨': 0, '起点当周量增': 1, '起点当周价涨量增': 0, '起点前10周波动率': 15.09, '起点前20周波动率': 41.73, '90%成本集中度': 17.26, '筹码集中度': 67.66, '盈利筹码比例': 77.63, '起点价格': 9.36, '起点日期': '2025-02-07'}"
300193,佳士科技,0.97,2025-12-31,8.95,8.95,37.56,{},"{'起点当周量比': 0.7, '起点前10周均量': 513263.0, '起点前20周均量': 534988.0, '起点前40周均量': 392993.0, '成交量萎缩程度': 0.96, '起点前40周最大量': 1051412.0, '最大量对应最低价': 9.33, '最大量对应日期': '2024-12-06', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.34, '价格相对位置': 66.67, '相对高点跌幅': 11.96, '起点前20周最高价': 10.62, '起点前20周最低价': 6.81, '起点前40周最高价': 10.62, '起点前40周最低价': 6.22, '起点前20周波动幅度': 55.95, '价格相对MA5': 6.91, 'MA5值': 8.75, '价格相对MA10': 3.05, 'MA10值': 9.07, '价格相对MA20': 5.94, 'MA20值': 8.83, '价格相对MA40': 17.54, 'MA40值': 7.95, 'MA20斜率': 7.63, '起点前20周量价相关系数': 0.093, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 18.61, '起点前20周波动率': 37.71, '90%成本集中度': 15.06, '筹码集中度': 49.12, '盈利筹码比例': 85.02, '起点价格': 9.35, '起点日期': '2025-02-07'}"
300387,富邦科技,0.97,2025-12-31,8.51,8.51,24.59,{},"{'起点当周量比': 0.58, '起点前10周均量': 726968.0, '起点前20周均量': 646587.0, '起点前40周均量': 593928.0, '成交量萎缩程度': 1.12, '起点前40周最大量': 1533101.0, '最大量对应最低价': 7.78, '最大量对应日期': '2024-11-29', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.27, '价格相对位置': 67.15, '相对高点跌幅': 13.17, '起点前20周最高价': 10.25, '起点前20周最低价': 6.14, '起点前40周最高价': 10.25, '起点前40周最低价': 5.44, '起点前20周波动幅度': 66.94, '价格相对MA5': 12.18, 'MA5值': 7.93, '价格相对MA10': 5.68, 'MA10值': 8.42, '价格相对MA20': 11.03, 'MA20值': 8.02, '价格相对MA40': 24.57, 'MA40值': 7.14, 'MA20斜率': 8.89, '起点前20周量价相关系数': 0.088, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 26.23, '起点前20周波动率': 48.36, '90%成本集中度': 16.74, '筹码集中度': 57.82, '盈利筹码比例': 81.23, '起点价格': 8.9, '起点日期': '2025-02-07'}"
300879,大叶股份,0.97,2025-12-31,29.85,29.85,60.01,{},"{'起点当周量比': 0.64, '起点前10周均量': 483661.0, '起点前20周均量': 417640.0, '起点前40周均量': 324362.0, '成交量萎缩程度': 1.16, '起点前40周最大量': 1021730.0, '最大量对应最低价': 15.69, '最大量对应日期': '2024-12-20', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.3, '价格相对位置': 65.11, '相对高点跌幅': 12.17, '起点前20周最高价': 18.98, '起点前20周最低价': 12.36, '起点前40周最高价': 19.48, '起点前40周最低价': 11.48, '起点前20周波动幅度': 53.56, '价格相对MA5': 6.14, 'MA5值': 15.71, '价格相对MA10': 4.97, 'MA10值': 15.88, '价格相对MA20': 8.86, 'MA20值': 15.31, '价格相对MA40': 15.07, 'MA40值': 14.49, 'MA20斜率': 6.73, '起点前20周量价相关系数': 0.107, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 15.63, '起点前20周波动率': 34.27, '90%成本集中度': 14.63, '筹码集中度': 59.12, '盈利筹码比例': 87.05, '起点价格': 16.67, '起点日期': '2025-02-07'}"
600860,京城股份,0.969,2025-12-31,12.54,12.54,55.68,{},"{'起点当周量比': 0.35, '起点前10周均量': 573826.0, '起点前20周均量': 599287.0, '起点前40周均量': 425352.0, '成交量萎缩程度': 0.96, '起点前40周最大量': 1755709.0, '最大量对应最低价': 9.07, '最大量对应日期': '2024-11-08', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.11, '价格相对位置': 63.24, '相对高点跌幅': 14.67, '起点前20周最高价': 12.2, '起点前20周最低价': 7.33, '起点前40周最高价': 12.2, '起点前40周最低价': 7.33, '起点前20周波动幅度': 66.44, '价格相对MA5': 4.83, 'MA5值': 9.93, '价格相对MA10': 0.69, 'MA10值': 10.34, '价格相对MA20': 6.09, 'MA20值': 9.81, '价格相对MA40': 14.25, 'MA40值': 9.11, 'MA20斜率': 16.3, '起点前20周量价相关系数': 0.36, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 16.29, '起点前20周波动率': 46.07, '90%成本集中度': 18.08, '筹码集中度': 65.87, '盈利筹码比例': 73.74, '起点价格': 10.41, '起点日期': '2025-02-07'}"
300360,炬华科技,0.968,2025-12-31,17.39,17.39,87.0,{},"{'起点当周量比': 1.02, '起点前10周均量': 465179.0, '起点前20周均量': 548862.0, '起点前40周均量': 494016.0, '成交量萎缩程度': 0.85, '起点前40周最大量': 1121992.0, '最大量对应最低价': 13.28, '最大量对应日期': '2024-06-21', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.42, '价格相对位置': 63.53, '相对高点跌幅': 13.05, '起点前20周最高价': 19.0, '起点前20周最低价': 12.2, '起点前40周最高价': 19.0, '起点前40周最低价': 11.9, '起点前20周波动幅度': 55.74, '价格相对MA5': 4.36, 'MA5值': 15.83, '价格相对MA10': 3.68, 'MA10值': 15.93, '价格相对MA20': 5.55, 'MA20值': 15.65, '价格相对MA40': 12.34, 'MA40值': 14.71, 'MA20斜率': 8.77, '起点前20周量价相关系数': 0.176, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 6.46, '起点前20周波动率': 32.29, '90%成本集中度': 13.63, '筹码集中度': 43.21, '盈利筹码比例': 99.26, '起点价格': 16.52, '起点日期': '2025-02-07'}"
